region,station_name,Promotion Price,promo_statId,promo_chgerId,type,speed(kwh),address,location_detail,lati,longi,First_floor,is_fast,parking_free,only_taxi,,,,,,,,,,,
경남,통영수영장 주차장,280,HM003011,01,초급속,100,경상남도 통영시 평인일주로 1052-27,옥외주차장,34.8583825000,128.4132844000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,용남생활체육공원 주차장,280,HM003012,02,초급속,100,경상남도 통영시 용남면 원평리 917-138,옥외주차장,34.8846647000,128.4595116000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,용남생활체육공원 주차장,280,HM003012,01,초급속,100,경상남도 통영시 용남면 원평리 917-138,옥외주차장,34.8846647000,128.4595116000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,미륵도주차장,280,HM003013,02,초급속,100,경상남도 통영시 봉평동 446,옥외주차장,34.8326584000,128.4129580000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,미륵도주차장,280,HM003013,01,초급속,100,경상남도 통영시 봉평동 446,옥외주차장,34.8326584000,128.4129580000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,통제영주차장(세병관),299,HM003014,02,초급속,100,경상남도 통영시 세병로 26,지상 주차장,34.8464342000,128.4236844000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,통제영주차장(세병관),299,HM003014,01,초급속,100,경상남도 통영시 세병로 26,지상 주차장,34.8464342000,128.4236844000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,도산면사무소,280,HM003015,02,초급속,100,경상남도 통영시 도산면 법송리 1051-5,옥외주차장,34.9032470000,128.3618768000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,도산면사무소,280,HM003015,01,초급속,100,경상남도 통영시 도산면 법송리 1051-5,옥외주차장,34.9032470000,128.3618768000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,생태숲(공원),253,HM003020,02,초급속,100,경상남도 통영시 도천동 728-5,옥외주차장,34.8433777000,128.4073438000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,생태숲(공원),253,HM003020,01,초급속,100,경상남도 통영시 도천동 728-5,옥외주차장,34.8433777000,128.4073438000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,원문생활공원,280,HM003022,02,초급속,100,경상남도 통영시 용남면 장문리 1034-3,옥외주차장,34.8697199000,128.4229790000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,원문생활공원,280,HM003022,01,초급속,100,경상남도 통영시 용남면 장문리 1034-3,옥외주차장,34.8697199000,128.4229790000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,통영시 수산식품산업 거점센터,280,HM800005,02,초급속,100,경상남도 통영시 도산면 법송2길 7,옥외주차장,34.8939004000,128.3740368000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
